statement,future,source
That group was to join up with those coming from Harare.,No,UN General Debates Corpus
"The support that they received from Spain was to involve the use of two Spanish Navy warships with 500 sailors on board, for support in case of resistance.",No,UN General Debates Corpus
"The goal was to put in power, at Government headquarters, Mr. Severo Moto Nsa, who had formed a government in exile that was recognized by the previous Government of Spain.",No,UN General Debates Corpus
"Fortunately, the solidarity of the Governments of Angola, Zimbabwe and South Africa came into play and they alerted the security services of my country, which acted immediately, arresting, on the night of 6 March, the 18 men stationed in Malabo, while the Harare Government did the same with those found in that capital’s airport on 7 March 2004.",No,UN General Debates Corpus
"They also gave details on the financing of the purchase of arms and of the cargo plane, and on the offer of the Spanish ships, which were already, at that time, anchored in the territorial waters of Equatorial Guinea.",No,UN General Debates Corpus
"We know that the mercenaries have acted in other parts of the world, and we bring this to the General Assembly because of the destructive effects that have been seen in other affected countries.",No,UN General Debates Corpus
"We speak of important issues, such as democracy, globalization, terrorism, poverty eradication, human development and the spread of infectious disease, as if they were completely disconnected.",No,UN General Debates Corpus
"Although commitments have been made, the lethargic performance of many countries, including Vanuatu, demonstrate the need for more international support in assisting countries to meet those targets.",No,UN General Debates Corpus
"The Government’s prioritized action agenda, which was launched last year in consultation with our development partners, is the catalyst for Vanuatu’s medium- to long-term strategic planning.",No,UN General Debates Corpus
"As world leaders, we have time and again expressed serious concerns and dissatisfaction about the fact that certain decisions and actions by the United Nations or its bodies were not consistent with the purposes and intentions of the Charter.",No,UN General Debates Corpus
"The continuing disputes and concerns raised with regard to the legality of United Nations-endorsed instruments that have been concluded throughout the years — such as the New York Agreement of 1962, to govern the United Nations administration of the so- called Act of Free Choice in West Papua — is a clear example challenging the integrity and validity of United Nations resolutions at that time.",No,UN General Debates Corpus
"In our opinion, the United Nations-conducted exercises were a total farce conditioned only to suit the geopolitical climate of that period.",No,UN General Debates Corpus
"On a final matter, my delegation strongly reaffirms its support for resolution 2758 (XXVI), which was adopted during the twenty-sixth session, in 1971, and which recognized the legal and political representation of the People’s Republic of China as a Member of the United Nations.",No,UN General Debates Corpus
"My Government was not properly consulted in that regard, and requests that the decision to relocate the Centre from Vanuatu be reconsidered.",No,UN General Debates Corpus
"In the Bahamas, Barbados, Cuba, the Cayman Islands, the Dominican Republic, Grenada, Haiti and my own country, Jamaica, the loss of life and the scale of destruction and damage to infrastructure, property and means of livelihood have been catastrophic.",No,UN General Debates Corpus
"The case of Grenada, which was virtually obliterated, is particularly striking.",No,UN General Debates Corpus
"Some tentative steps have been taken in that direction in the wake of the Monterrey Conference, but much more is required to reform governance in the international economic system to make it more democratic, transparent and responsive to the real needs and priorities of developing countries.",No,UN General Debates Corpus
"Small States do not produce these weapons, but they have become the principal victims of them.",No,UN General Debates Corpus
The year 2004 was declared the International Year for the Commemoration of the Struggle Against Slavery and its Abolition.,No,UN General Debates Corpus
The Haitian revolution was an achievement of immense historical importance that significantly influenced the shaping of the modern world.,No,UN General Debates Corpus
"The revolution was a story of heroism and triumph, creating a legacy that has sustained the Haitian people during a long and often lonely struggle for survival over the years, in the harsh realties of a hostile world of racism and discrimination.",No,UN General Debates Corpus
The sequence of events and the timing of the Security Council in reacting to the crisis were unfortunate.,No,UN General Debates Corpus
"That is why Jamaica asks of this fifty-ninth session that all States recommit themselves to the principles on which the Organization was founded to promote peace, equality and justice for all its Members.",No,UN General Debates Corpus
"Some of the problems that were laid before him were not easy to resolve but, as expected, resolved they were.",No,UN General Debates Corpus
"Since the childrenís summit took place, we have seen the condition of the worldís children become more and more desperate.",No,UN General Debates Corpus
We have seen the economies of small States collapse as a result of rising oil prices.,No,UN General Debates Corpus
We have seen our economies collapse because of high oil prices that rise higher every day.,No,UN General Debates Corpus
We have seen the rise of global terrorism; the world is a more dangerous place today than during the cold war.,No,UN General Debates Corpus
"Even if we believe that the war was wrong, it is the responsibility of the entire human race to help put an end to the suffering of the Iraqi people.",No,UN General Debates Corpus
Insistence on maintaining such measures will lead to deepening enmity and hatred between the States of the region.,Yes,UN General Debates Corpus
We are fully confident that Ambassador Mestiri will keep this in mind as the core of his mandate.,Yes,UN General Debates Corpus
Significant steps will be taken towards this goal.,Yes,UN General Debates Corpus
We will spare no effort to combat these illegal activities.,Yes,UN General Debates Corpus
A chief factor in resolving the problem will be the Tajik Government’s heeding the just and legitimate demands of the Tajik opposition leaders.,Yes,UN General Debates Corpus
The aggressors must know that they will have to pay war reparations to those who are their victims.,Yes,UN General Debates Corpus
This will remind aggressors always to think twice before firing and destroying.,Yes,UN General Debates Corpus
It has been predicted that the coming winter will be a harsh one.,Yes,UN General Debates Corpus
I am deeply convinced that there will come a time when the collective reason of the United Nations will have a much greater impact on the processes taking place in the world.,Yes,UN General Debates Corpus
Presidential power and the trust of the people guarantee that democratic reforms in our country will be irreversible.,Yes,UN General Debates Corpus
The President and the Government of the Republic of Belarus believe that implementation of market reforms will guarantee success in the democratic transformations in our society.,Yes,UN General Debates Corpus
In this vein I am happy to announce that we will sign that Agreement at this session.,Yes,UN General Debates Corpus
It is of concern to us that so much of the cost involved in the implementation of the Plan of Action will be borne by individual countries.,Yes,UN General Debates Corpus
We trust that moral restitution will be made to the memory of these victims.,Yes,UN General Debates Corpus
The clean-up and disposal of nuclear contamination in the Marshall Islands will require very large sums of money indeed.,Yes,UN General Debates Corpus
The effective disposal of those contaminants will require their permanent isolation from the human biosphere.,Yes,UN General Debates Corpus
We in the developing countries of the Caribbean urgently need to develop our human stock and to widen the space of economic opportunity; to provide more of our young people with better education; to provide facilities that will keep our populations healthy and productive; to provide incomes that will encourage our people to save and to convert such savings into low- interest loans for productive enterprise; and to concentrate on exports and undertakings such as tourism to earn foreign exchange.,Yes,UN General Debates Corpus
We expect that one of the major benefits of the ACS will be the promotion of the interests of our grouping in international economic and trade forums.,Yes,UN General Debates Corpus
The pace and comprehensiveness of economic reforms will vary from country to country.,Yes,UN General Debates Corpus
The upcoming referendum on the Constitution and the elections of the National Assembly and the President of the Republic will reaffirm the establishment of a democratic tradition.,Yes,UN General Debates Corpus
Armenia considers that only the unconditional and indefinite extension of the Nuclear Non-Proliferation Treaty will ensure that the Treaty serves its purpose.,Yes,UN General Debates Corpus
The way we channel these forces into productive activities will determine the success of our common endeavour to forge a just and stable world order.,Yes,UN General Debates Corpus
It calls for balancing long-term interests that will not only address continuing emergencies and immediate conflicts but will face up to the underlying silent crisis of development.,Yes,UN General Debates Corpus
I am confident that you will make an important contribution to the further success of our deliberations on the vital and major issues of our time.,Yes,UN General Debates Corpus
In this context my Government is optimistic that the still- unresolved major international political issues will be similarly settled.,Yes,UN General Debates Corpus
The Government of Saint Vincent and the Grenadines will continue to be an active participant in all arrangements aimed at ensuring the safe return of President Aristide and in the eventual rebuilding process.,Yes,UN General Debates Corpus
Another opportunity will arise when the Treaty on the Non-Proliferation of Nuclear Weapons (NPT) comes up for review next April.,Yes,UN General Debates Corpus
But disarmament alone will be inadequate.,Yes,UN General Debates Corpus
A global convulsion will come if we continue to disregard the development imperative.,Yes,UN General Debates Corpus
Faith in the multilateral system will be shaken if countries use their trading strength and bilateral pressures to weaken and distort agreements to which they have just become parties.,Yes,UN General Debates Corpus
We will face these problems and defeat them.,Yes,UN General Debates Corpus
The closing years of the twentieth century will see human society poised at a critical juncture as regards the future.,Yes,UN General Debates Corpus
Our welfare will be determined only in accordance with the values and principles we abide by.,Yes,UN General Debates Corpus
It is nevertheless essential to introduce into relations between States instruments that will prevent commercial interchange from becoming an economic war to the death.,Yes,UN General Debates Corpus
We realize that we must seek within ourselves the essential elements that will enable us to win the struggle for development to which we are so seriously committed.,Yes,UN General Debates Corpus
The large transnational corporations which have and exercise real power must become involved in the management of programmes that will seek peace through justice; economic justice in so far as it 9   concerns them; and respect for the sovereignty of both large and small States.,Yes,UN General Debates Corpus
It is an undeniable fact that after the game is played official Greece will emerge more nationalistic than it was before.,Yes,UN General Debates Corpus
This is a major success that will benefit all its member countries by putting an end to unilateral practices and guaranteeing fair and free trade.,Yes,UN General Debates Corpus
We will make this one of the main goals of the French presidency of the European Union in the first semester of the coming year.,Yes,UN General Debates Corpus
France expects that the greatest of firmness will be used in dealing with these most recent warmongers.,Yes,UN General Debates Corpus
This will raise questions as to the commitment of the North to pledges made at major conferences.,Yes,UN General Debates Corpus
We are confident that your qualities of leadership will ensure efficient and smooth deliberations.,Yes,UN General Debates Corpus
The Council reaffirmed that the sovereignty and boundaries of the State of Kuwait under its resolution 833 (1993) are the essence of the matter and that this will form the basis of the Council's priorities in dealing with the sanctions regime.,Yes,UN General Debates Corpus
We pray for national reconciliation that will preserve the unity and independence of Somalia.,Yes,UN General Debates Corpus
I am confident that under your skilful guidance the Assembly will move forward in responding to the many complex issues on our agenda.,Yes,UN General Debates Corpus
I have every confidence too that the work of the Organization will benefit much from the dynamic leadership of Secretary-General Boutros Boutros-Ghali and his dedicated staff.,Yes,UN General Debates Corpus
Winter will be here soon and the people will once again have cold and hunger to contend with.,Yes,UN General Debates Corpus
We seek a solution for the Croatian territories under UNPROFOR protection which will be acceptable to both sides.,Yes,UN General Debates Corpus
The European Union will become not a 'Fortress Europe' but a Europe based on partnership and solidarity.,Yes,UN General Debates Corpus
It is important to mention that there will be no pan-European order of peace without or against Russia.,Yes,UN General Debates Corpus
We Europeans will seek better international cooperation in the United Nations for the sustainable utilization and protection of the forests.,Yes,UN General Debates Corpus
We have to believe that it will pursue this course in seeking to strengthen and 20   refine them.,Yes,UN General Debates Corpus
The international community must continue in its efforts to convince the parties to the conflict of the imperative need to find an appropriate solution that will put an end to this irrational conflict.,Yes,UN General Debates Corpus
We are confident that under your able guidance the General Assembly will make significant progress on the important issues before it.,Yes,UN General Debates Corpus
In this regard the establishment of the South Centre will have a significant bearing on the strengthening of the foundations of such cooperation.,Yes,UN General Debates Corpus
We trust that the Summit will serve as a powerful engine for marshalling political will at the highest level and will bring about a viable action programme to effectively address social challenges.,Yes,UN General Debates Corpus
We trust that we will receive support and understanding from the parties concerned.,Yes,UN General Debates Corpus
We expect that with deliberations on and the subsequent adoption of the Agenda for Development there will be less grounds for such criticism.,Yes,UN General Debates Corpus
I am certain that his experience will be a positive factor in ensuring the success of the session’s deliberations.,Yes,UN General Debates Corpus
This will affect the common sentiments amongst the world’s nations at a time when joint efforts are needed to solve global issues in the interests of the development and advancement of every nation and of the entire international community.,Yes,UN General Debates Corpus
Only when a potential aggressor clearly perceives that the international community will retaliate in a timely and effective manner might it change its behaviour.,Yes,UN General Debates Corpus
Turkey fully supports the efforts of those secular republics to build pluralistic societies and will assist them in integrating into the world community.,Yes,UN General Debates Corpus
It will take part in the temporary international presence upon the request of the parties.,Yes,UN General Debates Corpus
High-level participation in this Conference will ensure its success.,Yes,UN General Debates Corpus
We will commemorate the fiftieth anniversary of the Organization next year.,Yes,UN General Debates Corpus
This will be the subject of a special meeting of African foreign ministers soon to be held in Cairo.,Yes,UN General Debates Corpus
That alone will make it possible to adopt concrete and realistic measures to stand up to this scourge in accordance with the mandates of the Global Programme of Action adopted by the General Assembly in 1990. International coordination and cooperation against drug-trafficking are indispensable.,Yes,UN General Debates Corpus
The international community should prove that it is ready and willing to take the steps which will bring about practical solutions to the problem of disarmament and international security.,Yes,UN General Debates Corpus
We are confident that your experience in the affairs of this Organization will enable you to conduct the work of this session with competence and efficiency.,Yes,UN General Debates Corpus
In that year we will celebrate the fiftieth anniversary of the United Nations.,Yes,UN General Debates Corpus
We are certain that your experience and your 19   diplomatic skill will lead to a very positive outcome for the work of this session.,Yes,UN General Debates Corpus
The Republic of Suriname is convinced that under Your Excellency’s guidance our deliberations during this important year will produce tangible results.,Yes,UN General Debates Corpus
Suriname wishes to emphasize that all efforts to restore democracy in Haiti will appear to have been in vain if the rich countries do not forthwith pool financial resources in a fund for the reconstruction and development of Haiti.,Yes,UN General Debates Corpus
My country is confident that the new Government in South Africa will cope well with the new challenges it faces.,Yes,UN General Debates Corpus
The expansion of the competence of the Palestinian Authority to other Palestinian areas in the West Bank will undoubtedly strengthen the peace process and contribute positively to security and stability in the area.,Yes,UN General Debates Corpus
There is no doubt that such regional efforts will contribute to the consolidation of regional security and serve the cause of international peace.,Yes,UN General Debates Corpus
We expect that the Commission of Experts 24   will continue to collect all available evidence to make for a speedy conclusion of this shameful episode.,Yes,UN General Debates Corpus
Many questions will continue to be asked about the direction that the United Nations must pursue as its fiftieth anniversary dawns.,Yes,UN General Debates Corpus
The United Nations will be able to deal with world issues effectively only when and if all its Members are allowed to participate equally in decision-making.,Yes,UN General Debates Corpus
We believe that the unconditional and indefinite renewal of the non-proliferation Treaty will only lead to the possession of these destructive and anti-human weapons by a handful of nuclear Powers and that the rest of the international community will be forced to live in fear in the dark shadow of these weapons.,Yes,UN General Debates Corpus
Sustained international assistance to Angola will be necessary in the post-agreement era and Zambia will continue to assist the people of Angola during this period.,Yes,UN General Debates Corpus
It is our expectation that the World Trade 16   Organization will promote a non-discriminatory and predictable trading system and protect the rights and interests of the developing countries.,Yes,UN General Debates Corpus
The World Summit on Social Development will be an opportunity for the international community to renew its commitment and political will to effectively address a number of social and economic problems.,Yes,UN General Debates Corpus
It is now time to reflect on a United Nations that will serve mankind for another 50 years after 1995.,Yes,UN General Debates Corpus
It will be necessary to sharpen the mechanisms that were established to give effect to the declared principles and purposes of the Charter.,Yes,UN General Debates Corpus
Everyone here today will be fully aware of the political changes that have taken place in my country during the past two years.,Yes,UN General Debates Corpus
It is thus quite clear that fulfillment of the Government’s policy for the alleviation of poverty will be a major challenge indeed.,Yes,UN General Debates Corpus
Many sacrifices will have to be made.,Yes,UN General Debates Corpus
Such an outcome will give the people of Mozambique the opportunity to rebuild their country and truly embark on development after many years of vicious civil war.,Yes,UN General Debates Corpus
Many peace-keeping and goodwill missions of the United Nations are currently to be found on African soil.,Yes,UN General Debates Corpus
Increased developments in science and technology will result in a globalization of the challenges we must face.,Yes,UN General Debates Corpus
We are confident that his abilities and skills will enable him to discharge his responsibilities in the best possible manner.,Yes,UN General Debates Corpus
This is a role that will undoubtedly increase in importance.,Yes,UN General Debates Corpus
Sweden will continue to allocate a substantial amount of its assistance to operational activities in the United Nations.,Yes,UN General Debates Corpus
In one month the people of Sweden will decide on this important question in a referendum.,Yes,UN General Debates Corpus
Sweden will be an active member of the United Nations and defend openness and international cooperation.,Yes,UN General Debates Corpus
I wish also to congratulate the other Assembly officers; I am sure they will spare no effort to rendering valuable assistance as you carry out your tasks.,Yes,UN General Debates Corpus
I am tempted to say here: give economic and social development that which is its due and there will be less to worry about concerning peace.,Yes,UN General Debates Corpus
In so doing the industrialized countries will have answered their own appeal as made by the Group of Seven most highly industrialized countries at the Naples Summit in July 1994.,Yes,UN General Debates Corpus
These will provide the foundations for the kind of development that will ensure human progress.,Yes,UN General Debates Corpus
The successful implementation of the Programme of Action will depend on these commitments.,Yes,UN General Debates Corpus
It is heartening to note that after 12 years of negotiations the world will witness the coming into force of the United Nations Convention on the Law of the Sea in November this year.,Yes,UN General Debates Corpus
The greatest growth in outlets for the commodities of industrialized countries will be found in the markets of developing countries.,Yes,UN General Debates Corpus
We are confident that under your wise guidance our deliberations at this session will achieve the desired results.,Yes,UN General Debates Corpus
Adoption of that declaration at this session of the General Assembly will be an important milestone towards strengthening the role of the regional bodies in the maintenance of international peace and security under the overall responsibility of the Security Council.,Yes,UN General Debates Corpus
We are encouraged by the assurance of the new Government that it will foster the reconciliation of the Rwandese people.,Yes,UN General Debates Corpus
We believe that the joint security efforts will significantly scale down the flow of armed gangs and individuals into the Kenyan side.,Yes,UN General Debates Corpus
Implementation of the measures jointly agreed upon with the International Monetary Fund will make it possible to have a firm fiscal policy and will strengthen the national currency.,Yes,UN General Debates Corpus
They will be taking part in the parliamentary elections which will be held in Uzbekistan in December 1994 on a multi-party basis.,Yes,UN General Debates Corpus
It is obvious that this process will be difficult and time- consuming.,Yes,UN General Debates Corpus
We are confident that your vast experience and outstanding qualities will be the best guarantee of the success of the work of the session.,Yes,UN General Debates Corpus
This question should be the focus of attention in the next session because it will mark the demise of the old order and the building of the new order that will replace it.,Yes,UN General Debates Corpus
I feel sure that with 5   your experience you will guide this session to a successful conclusion.,Yes,UN General Debates Corpus
This event will provide an opportunity to discuss global strategies for strengthening international cooperation for both wealthy and developing countries.,Yes,UN General Debates Corpus
There is no doubt that the tasks to be undertaken by the World Trade Organization will be of critical importance in strengthening the process of free trade.,Yes,UN General Debates Corpus
The United Nations and the CSCE will continue to have an important role in the implementation of the agreements.,Yes,UN General Debates Corpus
Latvians never have and never will ask for any other land.,Yes,UN General Debates Corpus
Latvia expects that the General Assembly will address this issue in the course of this session on the basis of the principle of sovereign equality.,Yes,UN General Debates Corpus
In many ways their fate will be decided by the heritage we leave to our children.,Yes,UN General Debates Corpus
The day is approaching when the international community will celebrate the fiftieth anniversary of the founding of the United Nations.,Yes,UN General Debates Corpus
I am confident that his wise guidance and leadership will enable this session of the General Assembly to deal successfully with the very important issues on its agenda.,Yes,UN General Debates Corpus
Once again at this session the United Nations General Assembly will deliberate the agenda item on the protection and security of small States.,Yes,UN General Debates Corpus
True success in accomplishing this challenging task facing the international community will require sincere commitment and dedication.,Yes,UN General Debates Corpus
The fact that it took 12 long years after its adoption for the Convention on the Law of the Sea to enter into force is indeed a development that will be written in letters of gold in the annals of world history.,Yes,UN General Debates Corpus
South Africa will play a major role in future developments in the African continent.,Yes,UN General Debates Corpus
My delegation will continue to support the international community in its efforts to assist the millions of deprived South Africans attain a better quality of life.,Yes,UN General Debates Corpus
This will help to improve security and stability in the Middle East.,Yes,UN General Debates Corpus
Thus Nicaraguans will participate in the United Nations mission to observe next October’s elections.,Yes,UN General Debates Corpus
My delegation is confident that he will maintain the high standards set by his predecessors and lead us skilfully through our important deliberations.,Yes,UN General Debates Corpus
We are confident that the report we are providing will deal with all legitimate United Nations concerns.,Yes,UN General Debates Corpus
The exercise of their rights determines the Government that will take office.,Yes,UN General Debates Corpus
Our vigilance in relation to the implementation of the Matignon Accords will be maintained until the ultimate objective is achieved.,Yes,UN General Debates Corpus
Our newly elected Government will remain steadfast in this approach to supporting the United Nations and building upon the historic opportunities offered by the new international situation.,Yes,UN General Debates Corpus
This matter is now being considered in the appropriate forums and the results will be presented to the United Nations.,Yes,UN General Debates Corpus
A prosperous democracy will be free of the internal tensions that have caused so many of today’s conflicts.,Yes,UN General Debates Corpus
The United Nations will foster a more peaceful world by promoting freedom and justice in addition to continuing its peace-keeping functions.,Yes,UN General Debates Corpus
This will be the role of the World Trade Organization.,Yes,UN General Debates Corpus
The fiftieth anniversary of the United Nations Charter will provide an opportunity for fostering such a process.,Yes,UN General Debates Corpus
That plan provides a realistic solution to territorial disputes and constitutional issues and ensures that Bosnia and Herzegovina will retain its international identity.,Yes,UN General Debates Corpus
We will continue to collaborate with the United Nations and other donor countries in the reconstruction of Mozambique.,Yes,UN General Debates Corpus
The moratorium will apply to all transfers and be applied until new international regulations become effective.,Yes,UN General Debates Corpus
This process will inevitably involve reconsidering some United Nations structures in order to adapt them to the new demands of development which will be discussed at the social summit soon to take place in Copenhagen.,Yes,UN General Debates Corpus
It trusts that his difficult task will be based on the frank understanding of the international community.,Yes,UN General Debates Corpus
It also expresses its conviction that the Assembly will commit the necessary administrative and financial resources to facilitate the duties of the High Commissioner.,Yes,UN General Debates Corpus
Ecuador trusts that democracy will be established permanently and as soon as possible in Haiti.,Yes,UN General Debates Corpus
This involves not only the decision on the fate of the United Nations Protection Force mandate in Bosnia and Herzegovina but also whether the Contact Group will succeed in sustaining a united operational basis for a solution or allow the situation to founder into a new military nightmare.,Yes,UN General Debates Corpus
It is the conviction of my Government that only a permanent solution will be acceptable to the people.,Yes,UN General Debates Corpus
The withdrawal from Jerusalem and all the other occupied Arab territories will remain critical in determining the real Israeli intention to establish a just and lasting peace.,Yes,UN General Debates Corpus
The Government of the Democratic People’s Republic of Korea will continue all its sincere efforts to resolve the nuclear issue on the Korean peninsula and to achieve the region’s denuclearization.,Yes,UN General Debates Corpus
The signing of such a treaty will further secure the principle so valued by our nations: good-neighbourly relations.,Yes,UN General Debates Corpus
Lithuania has presented its formal request for membership in that organization and will continue resolutely to seek the fulfilment of this goal.,Yes,UN General Debates Corpus
Quite the opposite - they will enrich us.,Yes,UN General Debates Corpus
Next year the United Nations will continue the tradition of transcontinental forums.,Yes,UN General Debates Corpus
A more integrated effort will clearly be required of the United Nations system if the objectives set out in An Agenda for Development are to be achieved.,Yes,UN General Debates Corpus
A decision to be made on extending the Treaty at the NPT Review Conference next year will allow us to secure its benefits in perpetuity.,Yes,UN General Debates Corpus
We commend its efforts to do so through the fellowship course of the United Nations Institute for Training and Research and we will continue to provide our backing for that training.,Yes,UN General Debates Corpus
The forthcoming 1995 Conference of the Parties to the Treaty on the Non-Proliferation of Nuclear Weapons will be an event of cardinal importance which can further enhance the aforesaid positive tendencies.,Yes,UN General Debates Corpus
It will benefit the entire international community.,Yes,UN General Debates Corpus
The answer to this question will tell us more about all of us than about the protagonists of those crises.,Yes,UN General Debates Corpus
It will become ever more difficult to wish for democracy in the world if democracy is avoided in the functioning and activity of the United Nations.,Yes,UN General Debates Corpus
Mankind will be able to face these challenges and difficulties only by assuming and accepting our complementarity and our interdependence.,Yes,UN General Debates Corpus
We will also meet in Beijing at the Fourth World Conference on Women to continue to put in place measures which will create an enabling environment for women.,Yes,UN General Debates Corpus
Jamaica will actively participate in these important processes.,Yes,UN General Debates Corpus
The inaugural meeting of the International Seabed Authority will be held in Kingston on that date.,Yes,UN General Debates Corpus
This will be both an end and a beginning.,Yes,UN General Debates Corpus
The event will mark the end of a process that began nearly twenty years ago and the opening of a new and historic chapter in international juridical and economic relations.,Yes,UN General Debates Corpus
The inaugural meeting will see the establishment of the International Seabed Authority.,Yes,UN General Debates Corpus
But Lebanon’s full sovereignty over all its territories and its total independence will remain compromised so long as major parts of its soil are not under its control and so long as the State remains unable to extend its full sovereignty over all its national soil through its own legitimate national forces.,Yes,UN General Debates Corpus
We must enter the multilateral negotiations without knowing whether or not there will be peace and what the form and 35   content of that peace will be.,Yes,UN General Debates Corpus
The process of establishing democracy will not end with the return of President Aristide; it will have just begun.,Yes,UN General Debates Corpus
Japan will remain resolutely a nation of peace.,Yes,UN General Debates Corpus
We will have to determine which of the two Americas stands to reap the greater benefit from the Miami Summit.,Yes,UN General Debates Corpus
That will be the occasion to chart our new priorities for the twenty-first century.,Yes,UN General Debates Corpus
I would remind the Assembly that the Charter clearly envisages that the norm for operations to maintain international peace and security will be United Nations operations.,Yes,UN General Debates Corpus
A major requirement for effective collective security is that countries contributing troops and civilian personnel should have confidence that their personnel in the field will have the best possible support to ensure their safety and security.,Yes,UN General Debates Corpus
The United Nations will have to go beyond the current work being done on stand-by forces to address this problem.,Yes,UN General Debates Corpus
We ask that you view us through a clear lens that will allow you to see the reality.,Yes,UN General Debates Corpus
We are certain that your skills and your diplomatic experience will enable us to realize the noble principles and objectives enshrined in the Charter of the United Nations.,Yes,UN General Debates Corpus
Inflation will stand at about 10 per cent this year and is estimated to fall into single digits next year.,Yes,UN General Debates Corpus
A solution to this matter will be in the interest of both China and the world as a whole.,Yes,UN General Debates Corpus
11   Next year will mark the fiftieth anniversary of the founding of the United Nations.,Yes,UN General Debates Corpus
We are convinced that the international community's success in serving the cause of international peace and security will depend on the commitment by its members to the United Nations Charter and on the strength of their political will to apply the resolutions of international legality.,Yes,UN General Debates Corpus
Success in achieving this aim will rely to a great extent on the degree of support by Member States for the principles and principles of the United Nations.,Yes,UN General Debates Corpus
In the coming years the most important growth of markets for the products of industrialized nations will occur in the developing countries.,Yes,UN General Debates Corpus
This new liberalization is also a reason for us to feel optimistic that freer trade will contribute to the eradication of poverty.,Yes,UN General Debates Corpus
More trade will translate into more and better jobs.,Yes,UN General Debates Corpus
13   These new imperatives express not only enormous needs but also the aspiration for the equality of nations in the building of a future that will hold promise only if it belongs to all of us.,Yes,UN General Debates Corpus
But we give you due notice that these future mercenaries will meet their end in the Republic of Guinea.,Yes,UN General Debates Corpus
We have no doubt that such action will be pursued victoriously under the banner of the Pan-Africanist Congress and the African National Congress in order to restore to our militant brothers their inalienable rights.,Yes,UN General Debates Corpus
The Portuguese colonies are now inflicting on economically undeveloped Portugal military reverses which undoubtedly will lead shortly to their national independence.,Yes,UN General Debates Corpus
This means that new military offensives will be a sign of the intensification of armed struggle throughout the Territory.,Yes,UN General Debates Corpus
Everyone will agree that such a mission should equally be sent to Angola and Mozambique in order to confer upon the liberation movements in those Territories the recognition of the United Nations.,Yes,UN General Debates Corpus
We sincerely -believe that strengthening security and expanding co-operation in Europe will be of benefit to the peoples of all continents and will promote a settlement of conflict situations in other parts of the world.,Yes,UN General Debates Corpus
The Czechoslovak Socialist Republic will continue to develop mutually advantageous economic co-operation with all countries that are interested in such co-operation and that provide the appropriate conditions.,Yes,UN General Debates Corpus
We confidently trust that in this task the Government and the people of Cyprus will have the unreserved support of all Members of this Organization.,Yes,UN General Debates Corpus
As long as there is a threat we will sustain the necessary effort.,Yes,UN General Debates Corpus
President Amin has said that if the Asians have not left before that deadline he will put them into 'camps'.,Yes,UN General Debates Corpus
That decision is a prelude to the victory of the Khmer people; it will lead the United Nations to consider the problem of the representation of Cambodia at the right time.,Yes,UN General Debates Corpus
And I am announcing here and now that the Government of Jamaica will be taking steps to bring all trade with Portugal to a halt until its African colonies have won their freedom.,Yes,UN General Debates Corpus
I am convinced that housing is going to have to become the great new area of world concern and effort.,Yes,UN General Debates Corpus
This is going to require the planned exploration of trading opportunities within the developing world; it is also going to demand the creation of institutions through which we can mobilize our own savings and apply them to our own concept of priorities.,Yes,UN General Debates Corpus
We feel sure that your high qualities and wide experience will be a valuable asset to the success of our deliberations.,Yes,UN General Debates Corpus
I am sure that this great Assembly will continue to benefit from his wisdom and experience.,Yes,UN General Debates Corpus
We see in them a further contribution to the process of detente and expect that they will yield positive results in the near future.,Yes,UN General Debates Corpus
The five member countries rely on ASEAN and will do so in the future to a degree which none of them had anticipated.,Yes,UN General Debates Corpus
Our new proposal will take the form of a draft resolution entitled 'International action on the mitigation of the harmful effects of storms'.,Yes,UN General Debates Corpus
That will condemn them to so slow an economic advance over the decade that hundreds of millions of individuals within these countries will be able to detect virtually no improvement whatever in their desperately low standards of living.,Yes,UN General Debates Corpus
Their per capita incomes will rise by no more than two dollars a year.',Yes,UN General Debates Corpus
The declaration by the Secretary-General on 20 September 1972 that 1974 will be observed as World Population Year is a cogent reminder that the earth's resources are limited and that population planning is indispensable to the preservation of the human species and the enhancement of the quality of life in the world.,Yes,UN General Debates Corpus
The Government of the Philippines is ready to join in recommending that a proper forum be established by the Assembly for a careful consideration of those specific suggestions which have been made or will be made in more detail by Member Governments and qualified experts.,Yes,UN General Debates Corpus
The number of items that will appear on the agenda of the forthcoming Conference are increasing considerably.,Yes,UN General Debates Corpus
We are convinced that pressure from this Organization and from world public opinion in the long run will be a factor of peace in the IndoChinese peninsula.,Yes,UN General Debates Corpus
Only flexibility will ensure equity in this area.,Yes,UN General Debates Corpus
You may safely assume that the European Common Market will play an ever more important part in global co-operation for economic development.,Yes,UN General Debates Corpus
In harmony with the conference on European security and co-operation there will be the need for negotiations on mutual balanced force reductions.,Yes,UN General Debates Corpus
In this spirit my delegation will give its full support to the search for a sensible solution of this intricate problem.,Yes,UN General Debates Corpus
The United Nations system is fortunate to have now at its disposal the broad framework of a machinery for review and appraisal which will enable it to adjust the Strategy to the new trends and new facts which I have just mentioned.,Yes,UN General Debates Corpus
He has already given proof that he possesses those qualities of mind and spirit which will be of inestimable value in dealing with the immense problems confronting our Organization.,Yes,UN General Debates Corpus
It will suffice to refer to the examples before everyone's eyes: Indochina and the Middle East.,Yes,UN General Debates Corpus
